Data from Accelerometer (Altitude):
Reading: 0.76, Time Elapsed: 7545
Reading: 1.04, Time Elapsed: 9702
Reading: 1.01, Time Elapsed: 9727
Reading: 1.1, Time Elapsed: 9751
Reading: 1.12, Time Elapsed: 9777
Reading: 1.14, Time Elapsed: 9802
Reading: 1.12, Time Elapsed: 9827
Reading: 1.13, Time Elapsed: 9861
Reading: 1.14, Time Elapsed: 9886
Reading: 1.13, Time Elapsed: 9912
Reading: 1.13, Time Elapsed: 9937
Reading: 1.13, Time Elapsed: 9962
Reading: 1.04, Time Elapsed: 9988
Reading: 1.07, Time Elapsed: 10011
Reading: 1.11, Time Elapsed: 10036
Reading: 1.15, Time Elapsed: 10062
Reading: 1.16, Time Elapsed: 10087
Reading: 1.17, Time Elapsed: 10113
Reading: 1.17, Time Elapsed: 10129
Reading: 1.15, Time Elapsed: 10153
Reading: 1.12, Time Elapsed: 10178
Reading: 1.11, Time Elapsed: 10203
Reading: 1.11, Time Elapsed: 10238
Reading: 1.07, Time Elapsed: 10261
Reading: 1.07, Time Elapsed: 10286
Reading: 1.06, Time Elapsed: 10312
Reading: 1.07, Time Elapsed: 10338
Reading: 1.08, Time Elapsed: 10361
Reading: 1.09, Time Elapsed: 10386
Reading: 1.16, Time Elapsed: 10411
Reading: 1.11, Time Elapsed: 10435
Reading: 1.1, Time Elapsed: 10460
Reading: 1.12, Time Elapsed: 10485
Reading: 1.08, Time Elapsed: 10511
Reading: 1.1, Time Elapsed: 10535
Reading: 1.08, Time Elapsed: 10560
Reading: 1.07, Time Elapsed: 10585
Reading: 1.06, Time Elapsed: 10610
Reading: 1.09, Time Elapsed: 10634
Reading: 1.02, Time Elapsed: 10660
Reading: 1.07, Time Elapsed: 10685
Reading: 1.12, Time Elapsed: 10709
Reading: 1.1, Time Elapsed: 10734
Reading: 1.14, Time Elapsed: 10759
Reading: 1.13, Time Elapsed: 10784
Reading: 1.13, Time Elapsed: 10807
Reading: 1.14, Time Elapsed: 10833
Reading: 1.12, Time Elapsed: 10858
Reading: 1.12, Time Elapsed: 10884
Reading: 1.07, Time Elapsed: 10908
Reading: 1.05, Time Elapsed: 10932
Reading: 1.08, Time Elapsed: 10958
Reading: 1.0, Time Elapsed: 10974
Reading: 1.01, Time Elapsed: 11006
Reading: 1.05, Time Elapsed: 11023
Reading: 1.07, Time Elapsed: 11049
Reading: 1.06, Time Elapsed: 11074
Reading: 1.07, Time Elapsed: 11099
Reading: 1.09, Time Elapsed: 11124
Reading: 1.11, Time Elapsed: 11158
Reading: 1.14, Time Elapsed: 11183
Reading: 1.17, Time Elapsed: 11208
Reading: 1.15, Time Elapsed: 11233
Reading: 1.18, Time Elapsed: 11258
Reading: 1.16, Time Elapsed: 11284
Reading: 1.12, Time Elapsed: 11307
Reading: 1.11, Time Elapsed: 11332
Reading: 1.11, Time Elapsed: 11358
Reading: 1.09, Time Elapsed: 11384
Reading: 1.04, Time Elapsed: 11409
Reading: 1.05, Time Elapsed: 11435
Reading: 1.07, Time Elapsed: 11460
Reading: 1.09, Time Elapsed: 11485
Reading: 1.09, Time Elapsed: 11509
Reading: 1.12, Time Elapsed: 11534
Reading: 1.18, Time Elapsed: 11560
Reading: 1.11, Time Elapsed: 11585
Reading: 1.13, Time Elapsed: 11601
Reading: 1.14, Time Elapsed: 11626
Reading: 1.15, Time Elapsed: 11659
Reading: 1.14, Time Elapsed: 11691
Reading: 1.03, Time Elapsed: 11710
Reading: 0.99, Time Elapsed: 11733
Reading: 1.01, Time Elapsed: 11759
Reading: 0.96, Time Elapsed: 11784
Reading: 0.99, Time Elapsed: 11810
Reading: 0.97, Time Elapsed: 11833
Reading: 1.02, Time Elapsed: 11859
Reading: 1.02, Time Elapsed: 11890
Reading: 1.04, Time Elapsed: 11907
Reading: 1.03, Time Elapsed: 11933
Reading: 1.06, Time Elapsed: 11958
Reading: 1.05, Time Elapsed: 11984
Reading: 1.09, Time Elapsed: 12007
Reading: 1.06, Time Elapsed: 12024
Reading: 1.03, Time Elapsed: 12049
Reading: 1.05, Time Elapsed: 12074
Reading: 1.09, Time Elapsed: 12099
Reading: 1.1, Time Elapsed: 12124
Reading: 1.04, Time Elapsed: 12149
Reading: 1.04, Time Elapsed: 12174
Reading: 1.08, Time Elapsed: 12199
Reading: 1.03, Time Elapsed: 12224
Reading: 1.03, Time Elapsed: 12248
Reading: 1.06, Time Elapsed: 12274
Reading: 1.0, Time Elapsed: 12307
Reading: 1.1, Time Elapsed: 12333
Reading: 1.09, Time Elapsed: 12356
Reading: 1.1, Time Elapsed: 12381
Reading: 1.1, Time Elapsed: 12407
Reading: 1.04, Time Elapsed: 12433
Reading: 0.99, Time Elapsed: 12456
Reading: 1.04, Time Elapsed: 12481
Reading: 1.1, Time Elapsed: 12497
Reading: 1.11, Time Elapsed: 12523
Reading: 1.1, Time Elapsed: 12547
Reading: 1.07, Time Elapsed: 12573
Reading: 1.07, Time Elapsed: 12606
Reading: 1.07, Time Elapsed: 12632
Reading: 1.12, Time Elapsed: 12658
Reading: 1.08, Time Elapsed: 12682
Reading: 1.08, Time Elapsed: 12708
Reading: 1.04, Time Elapsed: 12724
Reading: 1.1, Time Elapsed: 12748
Reading: 1.11, Time Elapsed: 12773
Reading: 1.17, Time Elapsed: 12808
Reading: 1.16, Time Elapsed: 12831
Reading: 1.17, Time Elapsed: 12856
Reading: 1.16, Time Elapsed: 12881
Reading: 1.14, Time Elapsed: 12907
Reading: 1.1, Time Elapsed: 12930
Reading: 1.09, Time Elapsed: 12947
Reading: 1.07, Time Elapsed: 12972
Reading: 1.1, Time Elapsed: 12997
Reading: 1.09, Time Elapsed: 13032
Reading: 1.09, Time Elapsed: 13058
Reading: 1.09, Time Elapsed: 13081
Reading: 1.09, Time Elapsed: 13107
Reading: 1.12, Time Elapsed: 13132
Reading: 1.14, Time Elapsed: 13158
Reading: 1.14, Time Elapsed: 13183
Reading: 1.15, Time Elapsed: 13208
Reading: 1.21, Time Elapsed: 13223
Reading: 1.15, Time Elapsed: 13248
Reading: 1.18, Time Elapsed: 13274
Reading: 1.22, Time Elapsed: 13307
Reading: 1.14, Time Elapsed: 13331
Reading: 1.13, Time Elapsed: 13356
Reading: 1.16, Time Elapsed: 13388
Reading: 1.14, Time Elapsed: 13398
Reading: 1.14, Time Elapsed: 13423
Reading: 1.18, Time Elapsed: 13447
Reading: 1.11, Time Elapsed: 13481
Reading: 1.17, Time Elapsed: 13507
Reading: 1.14, Time Elapsed: 13532
Reading: 1.07, Time Elapsed: 13557
Reading: 1.09, Time Elapsed: 13583
Reading: 1.06, Time Elapsed: 13608
Reading: 1.07, Time Elapsed: 13633
Reading: 1.04, Time Elapsed: 13649
Reading: 1.06, Time Elapsed: 13673
Reading: 1.02, Time Elapsed: 13699
Reading: 1.13, Time Elapsed: 13724
Reading: 1.14, Time Elapsed: 13749
Reading: 1.09, Time Elapsed: 13774
Reading: 1.13, Time Elapsed: 13799
Reading: 1.14, Time Elapsed: 13832
Reading: 1.16, Time Elapsed: 13858
Reading: 1.14, Time Elapsed: 13883
Reading: 1.14, Time Elapsed: 13909
Reading: 1.12, Time Elapsed: 13934
Reading: 1.17, Time Elapsed: 13957
Reading: 1.16, Time Elapsed: 13983
Reading: 1.14, Time Elapsed: 14000
Reading: 1.07, Time Elapsed: 14024
Reading: 1.14, Time Elapsed: 14059
Reading: 1.13, Time Elapsed: 14074
Reading: 1.08, Time Elapsed: 14100
Reading: 1.05, Time Elapsed: 14134
Reading: 0.99, Time Elapsed: 14160
Reading: 1.07, Time Elapsed: 14184
Reading: 1.06, Time Elapsed: 14210
Reading: 1.09, Time Elapsed: 14235
Reading: 1.15, Time Elapsed: 14259
Reading: 1.06, Time Elapsed: 14284
Reading: 1.04, Time Elapsed: 14301
Reading: 1.07, Time Elapsed: 14325
Reading: 1.07, Time Elapsed: 14359
Reading: 1.07, Time Elapsed: 14384
Reading: 1.11, Time Elapsed: 14409
Reading: 1.11, Time Elapsed: 14434
Reading: 1.09, Time Elapsed: 14458
Reading: 1.02, Time Elapsed: 14475
Reading: 1.04, Time Elapsed: 14509
Reading: 1.09, Time Elapsed: 14534
Reading: 1.14, Time Elapsed: 14560
Reading: 1.17, Time Elapsed: 14585
Reading: 1.16, Time Elapsed: 14610
Reading: 1.18, Time Elapsed: 14635
Reading: 1.19, Time Elapsed: 14650
Reading: 1.19, Time Elapsed: 14675
Reading: 1.14, Time Elapsed: 14710
Reading: 1.12, Time Elapsed: 14733
Reading: 1.12, Time Elapsed: 14751
Reading: 1.11, Time Elapsed: 14775
Reading: 1.03, Time Elapsed: 14809
Reading: 1.04, Time Elapsed: 14835
Reading: 1.03, Time Elapsed: 14865
Reading: 1.07, Time Elapsed: 14885
Reading: 1.08, Time Elapsed: 14902
Reading: 1.07, Time Elapsed: 14926
Reading: 1.07, Time Elapsed: 14951
Reading: 1.02, Time Elapsed: 14985
Reading: 1.07, Time Elapsed: 15008
Reading: 1.09, Time Elapsed: 15026
Reading: 1.06, Time Elapsed: 15059
Reading: 1.08, Time Elapsed: 15085
Reading: 1.13, Time Elapsed: 15110
Reading: 1.07, Time Elapsed: 15135
Reading: 1.05, Time Elapsed: 15161
Reading: 1.01, Time Elapsed: 15186
Reading: 1.05, Time Elapsed: 15210
Reading: 1.06, Time Elapsed: 15231
Reading: 1.08, Time Elapsed: 15251
Reading: 1.07, Time Elapsed: 15276
Reading: 1.08, Time Elapsed: 15301
Reading: 1.12, Time Elapsed: 15336
Reading: 1.13, Time Elapsed: 15360
Reading: 1.14, Time Elapsed: 15385
Reading: 1.1, Time Elapsed: 15402
Reading: 1.11, Time Elapsed: 15436
Reading: 1.12, Time Elapsed: 15459
Reading: 1.13, Time Elapsed: 15485
Reading: 1.08, Time Elapsed: 15510
Reading: 1.07, Time Elapsed: 15535
Reading: 1.11, Time Elapsed: 15559
Reading: 1.13, Time Elapsed: 15585
Reading: 1.08, Time Elapsed: 15610
Reading: 1.07, Time Elapsed: 15635
Reading: 1.09, Time Elapsed: 15658
Reading: 1.01, Time Elapsed: 15684
Reading: 1.1, Time Elapsed: 15709
Reading: 1.08, Time Elapsed: 15733
Reading: 1.09, Time Elapsed: 15758
Reading: 1.1, Time Elapsed: 15784
Reading: 1.14, Time Elapsed: 15809
Reading: 1.12, Time Elapsed: 15833
Reading: 1.12, Time Elapsed: 15858
Reading: 1.06, Time Elapsed: 15884
Reading: 1.06, Time Elapsed: 15909
Reading: 1.11, Time Elapsed: 15932
Reading: 1.15, Time Elapsed: 15958
Reading: 1.18, Time Elapsed: 15983
Reading: 1.19, Time Elapsed: 16006
Reading: 1.2, Time Elapsed: 16032
Reading: 1.17, Time Elapsed: 16057
Reading: 1.09, Time Elapsed: 16083
Reading: 1.12, Time Elapsed: 16106
Reading: 1.12, Time Elapsed: 16131
Reading: 1.13, Time Elapsed: 16156
Reading: 1.14, Time Elapsed: 16180
Reading: 1.15, Time Elapsed: 16205
Reading: 1.14, Time Elapsed: 16231
Reading: 1.11, Time Elapsed: 16257
Reading: 1.12, Time Elapsed: 16279
Reading: 1.12, Time Elapsed: 16305
Reading: 1.12, Time Elapsed: 16331
Reading: 1.11, Time Elapsed: 16356
Reading: 1.13, Time Elapsed: 16379
Reading: 1.09, Time Elapsed: 16405
Reading: 1.08, Time Elapsed: 16430
Reading: 1.08, Time Elapsed: 16456
Reading: 1.09, Time Elapsed: 16479
Reading: 1.15, Time Elapsed: 16505
Reading: 1.17, Time Elapsed: 16530
Reading: 1.17, Time Elapsed: 16553
Reading: 1.15, Time Elapsed: 16585
Reading: 1.16, Time Elapsed: 16604
Reading: 1.16, Time Elapsed: 16629
Reading: 1.17, Time Elapsed: 16653
Reading: 1.21, Time Elapsed: 16678
Reading: 1.21, Time Elapsed: 16703
Reading: 1.18, Time Elapsed: 16729
Reading: 1.16, Time Elapsed: 16752
Reading: 1.12, Time Elapsed: 16783
Reading: 1.1, Time Elapsed: 16803
Reading: 1.14, Time Elapsed: 16827
Reading: 1.09, Time Elapsed: 16852
Reading: 1.08, Time Elapsed: 16877
Reading: 1.08, Time Elapsed: 16902
Reading: 1.17, Time Elapsed: 16926
Reading: 1.17, Time Elapsed: 16952
Reading: 1.15, Time Elapsed: 16977
Reading: 1.14, Time Elapsed: 17003
Reading: 1.17, Time Elapsed: 17026
Reading: 1.12, Time Elapsed: 17051
Reading: 1.09, Time Elapsed: 17076
Reading: 1.1, Time Elapsed: 17100
Reading: 1.09, Time Elapsed: 17126
Reading: 1.07, Time Elapsed: 17151
Reading: 1.1, Time Elapsed: 17176
Reading: 1.07, Time Elapsed: 17199
Reading: 1.06, Time Elapsed: 17224
Reading: 1.06, Time Elapsed: 17250
Reading: 1.09, Time Elapsed: 17276
Reading: 1.09, Time Elapsed: 17299
Reading: 1.08, Time Elapsed: 17325
Reading: 1.06, Time Elapsed: 17350
Reading: 1.04, Time Elapsed: 17374
Reading: 1.05, Time Elapsed: 17398
Reading: 1.02, Time Elapsed: 17424
Reading: 1.05, Time Elapsed: 17450
Reading: 1.11, Time Elapsed: 17473
Reading: 1.08, Time Elapsed: 17499
Reading: 1.09, Time Elapsed: 17524
Reading: 1.1, Time Elapsed: 17549
Reading: 1.17, Time Elapsed: 17572
Reading: 1.16, Time Elapsed: 17598
Reading: 1.14, Time Elapsed: 17623
Reading: 1.11, Time Elapsed: 17647

Data from Flex Sensors:
Reading: 1.0, Time Elapsed: 7545
Reading: 1.0, Time Elapsed: 7568
Reading: 1.0, Time Elapsed: 7593
Reading: 1.0, Time Elapsed: 7619
Reading: 1.0, Time Elapsed: 7643
Reading: 1.0, Time Elapsed: 7668
Reading: 1.0, Time Elapsed: 7693
Reading: 1.0, Time Elapsed: 7719
Reading: 1.0, Time Elapsed: 7742
Reading: 1.0, Time Elapsed: 7767
Reading: 1.0, Time Elapsed: 7792
Reading: 1.0, Time Elapsed: 7818
Reading: 1.0, Time Elapsed: 7848
Reading: 1.0, Time Elapsed: 7866
Reading: 0.0, Time Elapsed: 7892
Reading: 1.0, Time Elapsed: 7919
Reading: 1.0, Time Elapsed: 7933
Reading: 1.0, Time Elapsed: 7958
Reading: 1.0, Time Elapsed: 7983
Reading: 1.0, Time Elapsed: 8008
Reading: 1.0, Time Elapsed: 8033
Reading: 1.0, Time Elapsed: 8058
Reading: 1.0, Time Elapsed: 8083
Reading: 1.0, Time Elapsed: 8108
Reading: 1.0, Time Elapsed: 8132
Reading: 1.0, Time Elapsed: 8158
Reading: 1.0, Time Elapsed: 8191
Reading: 1.0, Time Elapsed: 8216
Reading: 1.0, Time Elapsed: 8246
Reading: 1.0, Time Elapsed: 8265
Reading: 1.0, Time Elapsed: 8290
Reading: 1.0, Time Elapsed: 8316
Reading: 1.0, Time Elapsed: 8341
Reading: 1.0, Time Elapsed: 8364
Reading: 1.0, Time Elapsed: 8389
Reading: 1.0, Time Elapsed: 8415
Reading: 1.0, Time Elapsed: 8439
Reading: 1.0, Time Elapsed: 8464
Reading: 1.0, Time Elapsed: 8489
Reading: 1.0, Time Elapsed: 8515
Reading: 1.0, Time Elapsed: 8538
Reading: 0.0, Time Elapsed: 8563
Reading: 1.0, Time Elapsed: 8589
Reading: 1.0, Time Elapsed: 8613
Reading: 1.0, Time Elapsed: 8638
Reading: 1.0, Time Elapsed: 8663
Reading: 1.0, Time Elapsed: 8689
Reading: 1.0, Time Elapsed: 8712
Reading: 1.0, Time Elapsed: 8738
Reading: 1.0, Time Elapsed: 8763
Reading: 1.0, Time Elapsed: 8788
Reading: 1.0, Time Elapsed: 8804
Reading: 0.0, Time Elapsed: 8829
Reading: 1.0, Time Elapsed: 8854
Reading: 1.0, Time Elapsed: 8879
Reading: 1.0, Time Elapsed: 8903
Reading: 1.0, Time Elapsed: 8929
Reading: 1.0, Time Elapsed: 8954
Reading: 1.0, Time Elapsed: 8979
Reading: 1.0, Time Elapsed: 9004
Reading: 1.0, Time Elapsed: 9029
Reading: 1.0, Time Elapsed: 9054
Reading: 1.0, Time Elapsed: 9079
Reading: 1.0, Time Elapsed: 9104
Reading: 1.0, Time Elapsed: 9129
Reading: 1.0, Time Elapsed: 9161
Reading: 1.0, Time Elapsed: 9187
Reading: 1.0, Time Elapsed: 9212
Reading: 1.0, Time Elapsed: 9238
Reading: 1.0, Time Elapsed: 9261
Reading: 1.0, Time Elapsed: 9286
Reading: 1.0, Time Elapsed: 9312
Reading: 1.0, Time Elapsed: 9337
Reading: 1.0, Time Elapsed: 9360
Reading: 1.0, Time Elapsed: 9386
Reading: 1.0, Time Elapsed: 9411
Reading: 1.0, Time Elapsed: 9435
Reading: 1.0, Time Elapsed: 9460
Reading: 1.0, Time Elapsed: 9486
Reading: 1.0, Time Elapsed: 9502
Reading: 1.0, Time Elapsed: 9527
Reading: 1.0, Time Elapsed: 9552
Reading: 1.0, Time Elapsed: 9577
Reading: 1.0, Time Elapsed: 9602
Reading: 1.0, Time Elapsed: 9627
Reading: 1.0, Time Elapsed: 9652
Reading: 1.0, Time Elapsed: 9677
Reading: 1.0, Time Elapsed: 9702
Reading: 1.0, Time Elapsed: 9727
Reading: 1.0, Time Elapsed: 9751
Reading: 1.0, Time Elapsed: 9777
Reading: 1.0, Time Elapsed: 9802
Reading: 1.0, Time Elapsed: 9827
Reading: 1.0, Time Elapsed: 9861
Reading: 1.0, Time Elapsed: 9886
Reading: 1.0, Time Elapsed: 9912
Reading: 1.0, Time Elapsed: 9937
Reading: 1.0, Time Elapsed: 9962
Reading: 1.0, Time Elapsed: 9988
Reading: 1.0, Time Elapsed: 10011
Reading: 1.0, Time Elapsed: 10036
Reading: 1.0, Time Elapsed: 10062
Reading: 0.0, Time Elapsed: 10087
Reading: 1.0, Time Elapsed: 10113
Reading: 1.0, Time Elapsed: 10129
Reading: 1.0, Time Elapsed: 10153
Reading: 1.0, Time Elapsed: 10178
Reading: 1.0, Time Elapsed: 10203
Reading: 1.0, Time Elapsed: 10238
Reading: 1.0, Time Elapsed: 10261
Reading: 1.0, Time Elapsed: 10286
Reading: 1.0, Time Elapsed: 10312
Reading: 1.0, Time Elapsed: 10338
Reading: 1.0, Time Elapsed: 10361
Reading: 1.0, Time Elapsed: 10386
Reading: 1.0, Time Elapsed: 10411
Reading: 1.0, Time Elapsed: 10435
Reading: 1.0, Time Elapsed: 10460
Reading: 1.0, Time Elapsed: 10485
Reading: 1.0, Time Elapsed: 10511
Reading: 1.0, Time Elapsed: 10535
Reading: 1.0, Time Elapsed: 10560
Reading: 1.0, Time Elapsed: 10585
Reading: 1.0, Time Elapsed: 10610
Reading: 1.0, Time Elapsed: 10634
Reading: 1.0, Time Elapsed: 10660
Reading: 1.0, Time Elapsed: 10685
Reading: 1.0, Time Elapsed: 10709
Reading: 1.0, Time Elapsed: 10734
Reading: 1.0, Time Elapsed: 10759
Reading: 1.0, Time Elapsed: 10784
Reading: 1.0, Time Elapsed: 10807
Reading: 1.0, Time Elapsed: 10833
Reading: 1.0, Time Elapsed: 10858
Reading: 1.0, Time Elapsed: 10884
Reading: 1.0, Time Elapsed: 10908
Reading: 1.0, Time Elapsed: 10932
Reading: 1.0, Time Elapsed: 10958
Reading: 1.0, Time Elapsed: 10974
Reading: 1.0, Time Elapsed: 11006
Reading: 0.0, Time Elapsed: 11023
Reading: 1.0, Time Elapsed: 11049
Reading: 1.0, Time Elapsed: 11074
Reading: 0.0, Time Elapsed: 11099
Reading: 1.0, Time Elapsed: 11124
Reading: 1.0, Time Elapsed: 11158
Reading: 1.0, Time Elapsed: 11183
Reading: 1.0, Time Elapsed: 11208
Reading: 1.0, Time Elapsed: 11233
Reading: 1.0, Time Elapsed: 11258
Reading: 1.0, Time Elapsed: 11284
Reading: 1.0, Time Elapsed: 11307
Reading: 1.0, Time Elapsed: 11332
Reading: 1.0, Time Elapsed: 11358
Reading: 1.0, Time Elapsed: 11384
Reading: 1.0, Time Elapsed: 11409
Reading: 0.0, Time Elapsed: 11435
Reading: 1.0, Time Elapsed: 11460
Reading: 1.0, Time Elapsed: 11485
Reading: 1.0, Time Elapsed: 11509
Reading: 1.0, Time Elapsed: 11534
Reading: 1.0, Time Elapsed: 11560
Reading: 1.0, Time Elapsed: 11585
Reading: 1.0, Time Elapsed: 11601
Reading: 1.0, Time Elapsed: 11626
Reading: 1.0, Time Elapsed: 11659
Reading: 1.0, Time Elapsed: 11691
Reading: 1.0, Time Elapsed: 11710
Reading: 1.0, Time Elapsed: 11733
Reading: 1.0, Time Elapsed: 11759
Reading: 1.0, Time Elapsed: 11784
Reading: 1.0, Time Elapsed: 11810
Reading: 1.0, Time Elapsed: 11833
Reading: 1.0, Time Elapsed: 11859
Reading: 1.0, Time Elapsed: 11890
Reading: 1.0, Time Elapsed: 11907
Reading: 1.0, Time Elapsed: 11933
Reading: 1.0, Time Elapsed: 11958
Reading: 1.0, Time Elapsed: 11984
Reading: 1.0, Time Elapsed: 12007
Reading: 1.0, Time Elapsed: 12024
Reading: 1.0, Time Elapsed: 12049
Reading: 0.0, Time Elapsed: 12074
Reading: 1.0, Time Elapsed: 12099
Reading: 1.0, Time Elapsed: 12124
Reading: 1.0, Time Elapsed: 12149
Reading: 1.0, Time Elapsed: 12174
Reading: 1.0, Time Elapsed: 12199
Reading: 1.0, Time Elapsed: 12224
Reading: 1.0, Time Elapsed: 12248
Reading: 1.0, Time Elapsed: 12274
Reading: 1.0, Time Elapsed: 12307
Reading: 1.0, Time Elapsed: 12333
Reading: 1.0, Time Elapsed: 12356
Reading: 1.0, Time Elapsed: 12381
Reading: 1.0, Time Elapsed: 12407
Reading: 1.0, Time Elapsed: 12433
Reading: 1.0, Time Elapsed: 12456
Reading: 1.0, Time Elapsed: 12481
Reading: 1.0, Time Elapsed: 12497
Reading: 1.0, Time Elapsed: 12523
Reading: 1.0, Time Elapsed: 12547
Reading: 0.0, Time Elapsed: 12573
Reading: 1.0, Time Elapsed: 12606
Reading: 1.0, Time Elapsed: 12632
Reading: 1.0, Time Elapsed: 12658
Reading: 1.0, Time Elapsed: 12682
Reading: 1.0, Time Elapsed: 12708
Reading: 1.0, Time Elapsed: 12724
Reading: 1.0, Time Elapsed: 12748
Reading: 1.0, Time Elapsed: 12773
Reading: 1.0, Time Elapsed: 12808
Reading: 1.0, Time Elapsed: 12831
Reading: 1.0, Time Elapsed: 12856
Reading: 1.0, Time Elapsed: 12881
Reading: 1.0, Time Elapsed: 12907
Reading: 1.0, Time Elapsed: 12930
Reading: 1.0, Time Elapsed: 12947
Reading: 1.0, Time Elapsed: 12972
Reading: 1.0, Time Elapsed: 12997
Reading: 1.0, Time Elapsed: 13032
Reading: 1.0, Time Elapsed: 13058
Reading: 1.0, Time Elapsed: 13081
Reading: 1.0, Time Elapsed: 13107
Reading: 1.0, Time Elapsed: 13132
Reading: 1.0, Time Elapsed: 13158
Reading: 1.0, Time Elapsed: 13183
Reading: 1.0, Time Elapsed: 13208
Reading: 1.0, Time Elapsed: 13223
Reading: 1.0, Time Elapsed: 13248
Reading: 1.0, Time Elapsed: 13274
Reading: 1.0, Time Elapsed: 13307
Reading: 1.0, Time Elapsed: 13331
Reading: 1.0, Time Elapsed: 13356
Reading: 1.0, Time Elapsed: 13388
Reading: 1.0, Time Elapsed: 13398
Reading: 1.0, Time Elapsed: 13423
Reading: 1.0, Time Elapsed: 13447
Reading: 1.0, Time Elapsed: 13481
Reading: 1.0, Time Elapsed: 13507
Reading: 1.0, Time Elapsed: 13532
Reading: 1.0, Time Elapsed: 13557
Reading: 1.0, Time Elapsed: 13583
Reading: 1.0, Time Elapsed: 13608
Reading: 1.0, Time Elapsed: 13633
Reading: 1.0, Time Elapsed: 13649
Reading: 1.0, Time Elapsed: 13673
Reading: 1.0, Time Elapsed: 13699
Reading: 1.0, Time Elapsed: 13724
Reading: 1.0, Time Elapsed: 13749
Reading: 1.0, Time Elapsed: 13774
Reading: 1.0, Time Elapsed: 13799
Reading: 1.0, Time Elapsed: 13832
Reading: 1.0, Time Elapsed: 13858
Reading: 1.0, Time Elapsed: 13883
Reading: 1.0, Time Elapsed: 13909
Reading: 1.0, Time Elapsed: 13934
